Data from http://vo.imcce.fr/insola/earth/online/earth/earth.html
Five columns for each time as follows:
  time: thousands of years from present
  eccentricity: (aphelion-perihelion)/(aphelion+perihelion)
  obliquity: radians
  perihelion: angle between equinox & perihelion, radians
  insolation: daily mean TOA solar flux at 65N summer solstice, W/m2
time	eccentricity	obliquity	perihelion	insolation	global.insolation
-90	0.0347434426216535	0.422944105494071	2.74495573905424	494.95309087178	342.156572120803
-89	0.034106310076627	0.422115982487669	3.01757860442814	503.302545035279	342.149058706864
-88	0.0335975165728565	0.420989036002552	3.28983413016395	511.339635558846	342.143158946427
-87	0.0329378863409665	0.419585887076061	3.56244062103018	518.389745117222	342.135642589376
-86	0.03234670264174	0.417933809067154	3.83439477961992	523.83714509134	342.129033215976
-85	0.0317999463590242	0.416068391202887	4.10640154885466	527.250201940985	342.123027415512
-84	0.0311582411374857	0.414025896400823	4.37933494234062	528.201491393046	342.116109642228
-83	0.0305810663101132	0.411842543745854	4.6528670954073	526.680024610582	342.1100083352
-82	0.0299866776631849	0.409562673235995	4.92381604421197	522.702248687015	342.103844623842
-81	0.0294040913770163	0.407229301793503	5.19917747415811	516.532419750807	342.097921012185
-80	0.0288046810955246	0.404881978462603	5.47302619610431	508.603146392731	342.09194794572
-79	0.0282094983120906	0.402568196958859	5.74600571849665	499.502792599285	342.086139024049
-78	0.0276460343396563	0.400330902398559	6.02275778013953	489.735604537797	342.080751697367
-77	0.0270783496112991	0.398210798817569	0.0142596587788457	480.045850488709	342.075434183053
-76	0.0264700434753599	0.396251102325291	0.290967585520982	470.943194512982	342.0698588801
-75	0.0259517140227311	0.394494009883364	0.566672836104583	462.993770301338	342.065208399668
-74	0.0254080530187062	0.392973744818951	0.844311199816973	456.579157074329	342.060429657186
-73	0.0248079265048	0.391729870783807	1.12187992428711	452.09862609649	342.055272287896
-72	0.0243450916166496	0.390791904735731	1.39788317421469	449.567025356694	342.051379125515
-71	0.0237901896901785	0.390185741336795	1.67570262741641	449.202323851883	342.046808350264
-70	0.0232795607786307	0.389932091608354	1.9537040997462	450.826905419487	342.042695519126
-69	0.0227768415952888	0.390045795306493	2.22811982290866	454.241890787196	342.038733708868
-68	0.0222937951344195	0.390525777955359	2.5045424783948	459.201002855947	342.035008538317
-67	0.0217931634865042	0.391373746415314	2.78061234335238	465.350470587173	342.031232140693
-66	0.0213111477634927	0.392574915955794	3.05121572369335	472.151542181921	342.027677323867
-65	0.0208222635041623	0.394106105684801	3.32537817309101	479.352705630985	342.024153172884
-64	0.0203886121588374	0.395940996773055	3.59420278128399	486.382212731112	342.02109570549
-63	0.0198634117133803	0.398044004504871	3.86287638654112	492.90696453697	342.017479031284
-62	0.0194166701746252	0.400367751731797	4.12844542476304	498.650105726145	342.01447701741
-61	0.0189825041862909	0.402867567025538	4.39177673602419	503.388177805543	342.011625010917
-60	0.0184691656012283	0.405490845300206	4.653929884363	506.90538392629	342.008336220316
-59	0.0180437977685643	0.408177601833909	4.91243353443013	509.321497946426	342.005679404004
-58	0.0176054846032083	0.410873196501855	5.16630562497472	510.621367393975	342.003006551717
-57	0.0171560119302406	0.413520366091441	5.42431114428042	510.859987994031	342.000333968559
-56	0.0167393932549189	0.416055767915979	5.67114055743285	510.395493744193	341.997918511389
-55	0.0163303538126297	0.418426861673334	5.91950449577453	509.268975783863	341.995604812541
-54	0.0159614181048	0.42058004207081	6.16728611126733	507.708843379812	341.993567090007
-53	0.0155712796913477	0.422460837405317	0.124321751897781	506.006246836987	341.991462950971
-52	0.0152168288967897	0.42402765247622	0.363900044837456	504.229353771258	341.989596459578
-51	0.0149581146208748	0.425238486959243	0.604692420850292	502.447066753905	341.988261255074
-50	0.0146001517521174	0.426058294183414	0.836897331420218	500.985579709658	341.986451616366
-49	0.0143854297237408	0.426464784759257	1.07356292061549	499.609107232128	341.985387159465
-48	0.0141817739544928	0.426439600993296	1.30406241318905	498.532739344462	341.984392143637
-47	0.013986768633921	0.425972007384378	1.53722191338728	497.718064958775	341.983452695749
-46	0.0138426801466299	0.425072852538149	1.76867019943304	497.141064582019	341.982766903384
-45	0.013792707060953	0.423749077258556	1.9956834100711	496.698600626766	341.982530714897
-44	0.0137057179909576	0.422025467922855	2.23215300627942	496.555655870298	341.982121616024
-43	0.0137194024731619	0.419939799729983	2.46169280609813	496.439332276484	341.9821858008
-42	0.0137351985918332	0.417531694962899	2.69392065084287	496.433712950729	341.982259969541
-41	0.0138240717199825	0.414852915518802	2.93297589143637	496.499141601184	341.982678854244
-40	0.0139293128948969	0.411970200583733	3.17019443164679	496.479134696958	341.9831783821
-39	0.0140393601889938	0.408942748499387	3.4099356622944	496.318974507561	341.983704776494
-38	0.0142706431862717	0.405849045933069	3.65779139493835	496.040179355422	341.984824592801
-37	0.0144240672754175	0.402768373611911	3.9047220341181	495.34763120466	341.985577535849
-36	0.0146516927876755	0.399775579809648	4.1573622545234	494.286959290176	341.986709473042
-35	0.0149423199192154	0.396955313416688	4.41376424935417	492.761039710065	341.988180481898
-34	0.0151749884578822	0.394390837147143	4.67381098613246	490.597785427777	341.989378971247
-33	0.0154495435119989	0.392147702600544	4.93958486337174	487.845554744265	341.990817055352
-32	0.0157784647766455	0.39029732326989	5.20339457469251	484.573514998812	341.99257387713
-31	0.0160454695579128	0.388898464438229	5.47744409602502	480.698809207503	341.994027228057
-30	0.016365518930168	0.387984884696645	5.75116358543908	476.528704923795	341.995801470598
-29	0.0166518441105734	0.387588984762339	6.02590386161101	472.236485194854	341.997418478416
-28	0.0169668480529358	0.387721287972267	0.0227315005547561	468.050483819597	341.999229874923
-27	0.0172789659414995	0.388367901799399	0.30568338112765	464.2867177714	342.001058184814
-26	0.0175067836118058	0.389510255189779	0.584744516444778	461.414117154662	342.002413744023
-25	0.0178681374211005	0.391108229734952	0.871267451710989	459.467834122534	342.004600320054
-24	0.0180945533456362	0.393100798828274	1.15533222492983	458.991652074628	342.005993163908
-23	0.0183405964667049	0.39543257553205	1.44052770253346	460.0425687301	342.00752665284
-22	0.0186173998311915	0.398026704497306	1.72590658744018	462.703269819456	342.009276640132
-21	0.0188354289296022	0.400799766600411	2.01121842570955	467.040666633969	342.010673523643
-20	0.0190026722586542	0.403677368929016	2.29839017151359	472.938374967718	342.01175606368
-19	0.0192230809506806	0.406576781352852	2.58140070886252	479.995857300387	342.013197367062
-18	0.0193470764727122	0.409413383859117	2.86764310233134	488.030371591554	342.014015515967
-17	0.0194869598546878	0.412123057306636	3.15395689175039	496.496515141393	342.014944818081
-16	0.0195601777584829	0.414634272525282	3.43672986902924	504.801975428308	342.015433906596
-15	0.01963487419524	0.416886779753187	3.72275443236305	512.53295875547	342.01593476387
-14	0.0196790596381316	0.418834634640014	4.00844613131194	519.095663588413	342.016231937378
